TrackName,Album,Artist,Genre
Eben Upton: Raspberry Pi,Computing Conversations,IEEE Computer Society,Podcast
Andrew Tanenbaum: Writing the Book on Networks,Computing Conversations,IEEE Computer Society,Podcast
Massimo Banzi: Building Arduino,Computing Conversations,IEEE Computer Society,Podcast
John C. Hollar: History of Computing,Computing Conversations,IEEE Computer Society,Podcast
Bob Metcalfe: Ethernet at Forty,Computing Conversations,IEEE Computer Society,Podcast
Gordon Bell: Building Blocks of Computing,Computing Conversations,IEEE Computer Society,Podcast
Ian Horrocks: Standardizing OWL,Computing Conversations,IEEE Computer Society,Podcast
Katie Hafner: The Origins of the Internet,Computing Conversations,IEEE Computer Society,Podcast
Larry Smarr: Building Mosaic,Computing Conversations,IEEE Computer Society,Podcast
Len Kleinrock: The Theory of Packets,Computing Conversations,IEEE Computer Society,Podcast
Mitchell Baker: The Mozilla Foundation,Computing Conversations,IEEE Computer Society,Podcast
Pooja Sankar: Building the Piazza Collaboration System,Computing Conversations,IEEE Computer Society,Podcast
Van Jacobson: Content-Centric Networking,Computing Conversations,IEEE Computer Society,Podcast
The Apache Software Foundation,Computing Conversations,IEEE Computer Society,Podcast
A Brief History of Packets,Computing Conversations,IEEE Computer Society,Podcast
Discovering JavaScript Object Notation,Computing Conversations,IEEE Computer Society,Podcast
Inventing PHP,Computing Conversations,IEEE Computer Society,Podcast
Monash Museum of Computing History,Computing Conversations,IEEE Computer Society,Podcast
The Rise of JavaScript,Computing Conversations,IEEE Computer Society,Podcast
Joseph Hardin: NCSA Mosaic,Computing Conversations,IEEE Computer Society,Podcast
Len Kleinrock on the Internet's First Two Packets,Computing Conversations,IEEE Computer Society,Podcast
Doug Van Houweling on Building the NSFNet,Computing Conversations,IEEE Computer Society,Podcast
Computing Conversations: Nathaniel Borenstein on MIME,Computing Conversations,IEEE Computer Society,Podcast
You Don't Mess Around With Jim,Classic Hits,Jim Croce,Folk
Andrew S. Tanenbaum on MINIX,Computing Conversations,IEEE Computer Society,Podcast
Computing Conversations: Elizabeth Fong on SQL Standards,Computing Conversations,IEEE Computer Society,Podcast
Nii Quaynor on Bringing the Internet to Africa,Computing Conversations,IEEE Computer Society,Podcast
PHP-09-Transactions.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-01-Intro.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-02-Install.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-04-Expressions.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-05-Functions.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-06-Strings.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-12-Sessions.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-06-Objects.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
SI664-13-JSON-A.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-13-JavaScript.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-09-Database-Design.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-Tsugi-Install.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-10-MySQL-PDO.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
PHP-08-MySQL.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
SI664-13-JSON-B.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
IMS-Learning-Tools-Interoperability.mp3,SI 664 W14's official Podcast.,Created by Sakai,Podcast
An Interview with Don Waters,CNI Event Coverage,Matt Pasiewicz,Speech
PY4INF-11-Regex.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-10-Tuples.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-09-Dictionaries.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-08-Lists.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-07-Files.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-06-Strings.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-05-Iterations.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-04-Functions.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-03-Conditional.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-02-Expressions.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
PY4INF-01-Intro.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-11-Regex.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-10-Tuples.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-09-Dictionaries.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-08-Lists.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-07-Files.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-06-Strings.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-05-Iterations.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-04-Functions.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-03-Conditional.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-02-Expressions.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Py4Inf-01-Intro.mp3,Python for Informatics's official Podcast.,Recording by Dr. Chuck,Podcast
Ian Foster on the Globus Project,Computing Conversations,IEEE Computer Society,Podcast
Khan Academy and Computer Science,Computing Conversations,IEEE Computer Society,Podcast
Guido van Rossumon the Early Years of Python,Computing Conversations,IEEE Computer Society,Podcast
Guido van Rossum on the Modern Era of Python,Computing Conversations,IEEE Computer Society,Podcast
John Resig on Building jQuery,Computing Conversations,IEEE Computer Society,Podcast
Roy T. Fielding on Understanding the REST Style,Computing Conversations,IEEE Computer Society,Podcast
Anil Jain: 25 Years of Biometric Recognition,Computing Conversations,IEEE Computer Society,Podcast
Waste Management,"Undercover Boss, Season 1",Undercover Boss,Reality TV
Sleep Like a Baby Tonight,Songs of Innocence,U2,Rock
Evergreen,Warpaint,The Black Crowes,Rock
Oh Josephine,Warpaint,The Black Crowes,Rock
Movin' On Down the Line,Warpaint,The Black Crowes,Rock
Wounded Bird,Warpaint,The Black Crowes,Rock
Volcano,Songs of Innocence,U2,Rock
Wee Who See the Deep,Warpaint,The Black Crowes,Rock
Cedarwood Road,Songs of Innocence,U2,Rock
Locust Street,Warpaint,The Black Crowes,Rock
Raised By Wolves,Songs of Innocence,U2,Rock
The Troubles,Songs of Innocence,U2,Rock
This Is Where You Can Reach Me Now,Songs of Innocence,U2,Rock
God's Got It,Warpaint,The Black Crowes,Rock
California (There Is No End to Love),Songs of Innocence,U2,Rock
Every Breaking Wave,Songs of Innocence,U2,Rock
Interview With the Onion News Network,"Onion News Network, Season 1",Onion News Network,Comedy
Song for Someone,Songs of Innocence,U2,Rock
The Miracle (Of Joey Ramone),Songs of Innocence,U2,Rock
Iris (Hold Me Close),Songs of Innocence,U2,Rock
Goodbye Daughters of the Revolution,Warpaint,The Black Crowes,Rock
Walk Believer Walk,Warpaint,The Black Crowes,Rock
Choice Hotels International,"Undercover Boss, Season 2",Undercover Boss,Reality TV
Microchip,YouTube Audio Library,Jason Farnham,Dance & Electronic
Anant Agarwal,Computing Conversations,IEEE Computer Society,Podcast
